record,position,top1_match,max_abs_logit_difference,mean_abs_logit_difference,serial_divergent_accepted_tokens_in_action,strict_accepted_prefix_length,causal_comparable_positions
132,2,1,0.625,0.17327880859375,0,7,7
132,3,1,0.5625,0.16773414611816406,0,7,7
132,4,1,0.75,0.20201778411865234,0,7,7
132,5,1,0.75,0.2209022045135498,0,7,7
132,6,1,0.40625,0.09625840187072754,0,7,7
133,0,1,0.125,0.008039593696594238,0,7,7
133,1,1,0.6875,0.20188426971435547,0,7,7
133,2,1,0.625,0.1603708267211914,0,7,7
133,3,1,0.625,0.15263652801513672,0,7,7
133,4,1,0.71875,0.18867313861846924,0,7,7
133,5,1,0.5,0.14623069763183594,0,7,7
133,6,1,0.359375,0.0891866683959961,0,7,7
134,0,1,0.125,0.00445556640625,0,7,7
134,1,1,0.625,0.17339134216308594,0,7,7
134,2,1,0.5546875,0.14473474025726318,0,7,7
134,3,1,0.75,0.15710949897766113,0,7,7
134,4,1,0.75,0.14984130859375,0,7,7
134,5,1,0.75,0.15201210975646973,0,7,7
134,6,1,0.37109375,0.09703326225280762,0,7,7
135,0,1,0.125,0.006542205810546875,0,7,7
135,1,1,0.625,0.16461396217346191,0,7,7
135,2,1,0.71875,0.1873035430908203,0,7,7
135,3,1,0.5625,0.14097023010253906,0,7,7
135,4,1,0.75,0.1952972412109375,0,7,7
135,5,1,0.625,0.18293380737304688,0,7,7
135,6,1,0.34375,0.08825206756591797,0,7,7
136,0,1,0.125,0.005443572998046875,0,7,7
136,1,1,0.625,0.16458606719970703,0,7,7
136,2,1,0.5625,0.1483454704284668,0,7,7
136,3,1,0.9375,0.22301387786865234,0,7,7
136,4,1,0.875,0.18724441528320312,0,7,7
136,5,1,0.75,0.1845855712890625,0,7,7
136,6,1,0.34375,0.0910654067993164,0,7,7
137,0,1,0.125,0.005367279052734375,0,1,2
137,1,1,0.59375,0.1673879623413086,0,1,2
138,0,1,0.125,0.00820159912109375,0,1,2
138,1,1,1.0,0.2191309928894043,0,1,2
139,0,1,0.125,0.0056552886962890625,0,7,7
139,1,1,0.75,0.19998645782470703,0,7,7
139,2,1,0.625,0.18025588989257812,0,7,7
139,3,1,0.75,0.1677786111831665,0,7,7
139,4,1,1.0625,0.23700523376464844,0,7,7
139,5,1,0.8125,0.2116682529449463,0,7,7
139,6,1,0.3828125,0.1065642237663269,0,7,7
140,0,1,0.125,0.00525665283203125,0,7,7
140,1,1,0.625,0.15398937463760376,0,7,7
140,2,1,0.6875,0.17381000518798828,0,7,7
140,3,1,0.5625,0.16485801339149475,0,7,7
140,4,1,0.65625,0.17990875244140625,0,7,7
140,5,1,0.6875,0.19399785995483398,0,7,7
140,6,1,0.4375,0.10042023658752441,0,7,7
141,0,1,0.125,0.0059299468994140625,0,1,2
141,1,1,0.875,0.187957763671875,0,1,2
142,0,1,0.125,0.0051250457763671875,0,3,4
142,1,1,0.5625,0.16370201110839844,0,3,4
142,2,1,0.6875,0.19580793380737305,0,3,4
